Feature,SHAP_Baseline,SHAP_Defended,LIME_Baseline,LIME_Defended
having_IP_Address,0.015163684998740764,0.016441525197500192,0.01684843962231,0.019124164804270614
URL_Length,0.004036586177246978,0.003907582520161794,0.015139759314148066,0.0065616257061234
Shortining_Service,0.004855266212093083,0.005024270743661909,0.0,0.0
having_At_Symbol,0.003034333945426224,0.002415518537523532,0.0,0.0
double_slash_redirecting,0.001652392155944361,0.00183441726306741,0.0,0.0
Prefix_Suffix,0.03975854954904429,0.03808578538385044,0.2696595630668395,0.1058604578399875
having_Sub_Domain,0.051969505623678976,0.050503143181025584,0.08439814771555909,0.0435920561483279
SSLfinal_State,0.19720759691729545,0.18817160092326804,0.3631821674621375,0.23597627498335239
Domain_registeration_length,0.015796891575866282,0.01285281918492303,0.022145274643981017,0.020683685653815044
Favicon,0.002998535863014362,0.0026929788790773716,0.0,0.0
port,0.0014962448634671416,0.0015442189859941466,0.0,0.0
HTTPS_token,0.003146319130964389,0.0027570910383086216,0.0,0.0
Request_URL,0.02123875556029152,0.019149638062186215,0.022350177892973746,0.02033132284966215
URL_of_Anchor,0.14887452707089002,0.16109135187088752,0.02887407493292634,0.1447851736566617
Links_in_tags,0.0467624490682273,0.04441654536758148,0.00894133818578575,0.02831036412701489
SFH,0.026744353718771027,0.023640092155827276,0.09441784157409358,0.005764265409866545
Submitting_to_email,0.0021228665705977662,0.002180346630431217,0.0,0.0
Abnormal_URL,0.003821109795915996,0.003617656178273181,0.0,0.0
Redirect,0.0030412774689746536,0.0038131978300302467,0.018838040504145254,0.012739383998991955
on_mouseover,0.0016856740855368925,0.0018258715219680545,0.0,0.0
RightClick,0.0005582945219820722,0.000572630204406645,0.0,0.0
popUpWidnow,0.0028905837698511615,0.0036770340964972096,0.0,0.0
Iframe,0.0012854409518765822,0.0010891209535016017,0.0,0.0
age_of_domain,0.01097429167625755,0.010250091073359526,0.004930086099123484,0.006561708782701057
DNSRecord,0.00983029672007877,0.0081806938997138,0.010766913120666695,0.003566880958885782
web_traffic,0.058586620077132195,0.05398568624448378,0.07967086241779522,0.11324567529709433
Page_Rank,0.006513933460544899,0.005832079361345672,0.042284713337366775,0.0038296902029743567
Google_Index,0.015516777866559332,0.01581080080543484,0.0,0.0
Links_pointing_to_page,0.01730972804716302,0.015880033560587148,0.022158419930822078,0.0116370604974079
Statistical_report,0.003196328028046964,0.0025012587904340534,0.0,0.0
