Model,Epsilon,Baseline_Accuracy,Adversarial_Accuracy,Accuracy_Drop,Attack_Success_Rate
Logistic Regression,0.01,0.9258254183627318,0.9265038444142921,-0.0006784260515603213,-0.07327796775768786
Logistic Regression,0.05,0.9258254183627318,0.9260515603799185,-0.00022614201718673677,-0.024425989252558625
Logistic Regression,0.1,0.9258254183627318,0.9280868385345997,-0.0022614201718679228,-0.24425989252564614
Logistic Regression,0.2,0.9258254183627318,0.927860696517413,-0.002035278154681186,-0.21983390327308755
Random Forest,0.01,0.9841700587969244,0.9841700587969244,0.0,0.0
Random Forest,0.05,0.9841700587969244,0.9841700587969244,0.0,0.0
Random Forest,0.1,0.9841700587969244,0.9841700587969244,0.0,0.0
Random Forest,0.2,0.9841700587969244,0.9841700587969244,0.0,0.0
SVM (RBF),0.01,0.9622342831298055,0.9626865671641791,-0.00045228403437358455,-0.047003525264394615
SVM (RBF),0.05,0.9622342831298055,0.9617819990954319,0.00045228403437358455,0.047003525264394615
SVM (RBF),0.1,0.9622342831298055,0.9629127091813658,-0.0006784260515603213,-0.07050528789658615
SVM (RBF),0.2,0.9622342831298055,0.9647218453188603,-0.0024875621890547706,-0.25851938895417614
